UNIX_TIMESTAMP(ts)	x	y	z
1387624660	0.03125	0.0625	0.5625
1387624665	-0.03125	0.15625	0.90625
1387624669	0.03125	0.15625	1.21875
1387624672	0.03125	0.09375	0.53125
1387624674	0	0.125	1.21875
1387624677	0.03125	0.15625	1.21875
1387624680	0.03125	0	0.65625
1387624682	0.03125	0.125	0.75
1387624685	0	0.09375	0.84375
1387624688	-0.03125	0.15625	1.15625
1387624690	0	0.125	0.53125
1387624695	0.03125	0.15625	0.5625
1387624698	0	0.21875	0.875
1387624700	0	0.21875	0.78125
1387624703	0.03125	0.09375	0.625
1387624706	0	0.1875	0.875
1387624708	0.0625	0.03125	0.59375
1387624711	-0.03125	0.1875	1.21875
1387624713	0.0625	0.1875	0.6875
1387624716	0.03125	0.125	1.0625
1387624719	0	0.21875	0.875
1387624721	0	0.0625	0.90625
1387624724	0.09375	0	0.78125
1387624726	0	0.03125	1.03125
1387624729	0	0.15625	1.125
1387624731	0.0625	0.125	0.65625
1387624734	0	0.125	0.78125
1387624736	0.0625	0.15625	0.90625
1387624739	0	0.1875	1.09375
1387624742	0	0.1875	0.875
1387624745	-0.03125	0.21875	0.84375
1387624749	0.09375	0.1875	0.90625
1387624751	0.09375	0.125	0.96875
1387624754	0.03125	0.0625	0.65625
1387624757	0.125	0.1875	1
1387624759	-0.0625	0.125	0.75
1387624762	0.0625	0.15625	0.96875
1387624765	0.0625	0.03125	0.875
1387624767	0.0625	0.25	0.59375
1387624770	0.03125	0.03125	0.59375
1387624773	0.03125	0.1875	1.0625
1387624775	0.0625	0.09375	0.625
1387624778	0	-0.03125	0.78125
1387624781	0.0625	-0.09375	0.90625
1387624784	-0.03125	0.0625	0.65625
1387624787	0	-0.15625	0.78125
1387624790	-0.03125	0.0625	1.03125
1387624793	0.03125	-0.0625	0.96875
1387624795	0.125	0	0.875
1387624798	0.125	0.03125	0.75
1387624801	0	0.21875	0.90625
1387624804	0.0625	0.1875	0.78125
1387624806	0.125	0.0625	0.84375
1387624809	0.0625	0.09375	0.90625
1387624812	0	0.21875	0.71875
1387624815	0.03125	0.125	0.96875
1387624819	0.0625	0.125	0.90625
1387624821	0.0625	0.125	0.9375
1387624824	0	0.15625	0.8125
1387624827	0	0.09375	0.8125
1387624830	0.125	0.21875	0.90625
1387624832	0.125	0.15625	0.78125
1387624835	0.03125	0.15625	0.84375
1387624838	0.15625	0.09375	0.78125
1387624840	0.03125	0.25	0.90625
1387624843	0	0.15625	1
1387624846	0.125	0.03125	0.6875
1387624848	0.03125	0.03125	0.84375
1387624851	-0.03125	0.25	0.8125
1387624854	0.125	0.1875	0.5625
1387624857	0.15625	0	0.96875
1387624860	0.0625	0.125	0.90625
1387624862	0.03125	0	0.5625
1387624865	-0.03125	0.21875	0.875
1387624868	0.03125	0.1875	1.0625
