Grid	Lat/Long hddd°mm'ss.s"
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG 002	22/12/2013 9:35:35 AM 	0:28:15	31.1 km	66 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	S41 08 49.7 W71 09 48.3	22/12/2013 9:35:35 AM 	895 m
Trackpoint	S41 08 49.7 W71 09 48.6	22/12/2013 9:38:49 AM 	844 m			5 m	0:03:14	0.1 kph	266° true
Trackpoint	S41 08 49.8 W71 09 48.6	22/12/2013 9:40:05 AM 	838 m			1 m	0:01:16	0.1 kph	172° true
Trackpoint	S41 08 49.8 W71 09 48.4	22/12/2013 9:40:16 AM 	842 m			4 m	0:00:11	1.2 kph	83° true
Trackpoint	S41 08 50.6 W71 09 46.9	22/12/2013 9:40:29 AM 	841 m			44 m	0:00:13	12 kph	128° true
Trackpoint	S41 08 52.7 W71 09 43.9	22/12/2013 9:40:43 AM 	840 m			96 m	0:00:14	25 kph	132° true
Trackpoint	S41 08 54.6 W71 09 39.0	22/12/2013 9:41:03 AM 	833 m			127 m	0:00:20	23 kph	117° true
Trackpoint	S41 08 56.2 W71 09 34.3	22/12/2013 9:41:27 AM 	834 m			121 m	0:00:24	18 kph	114° true
Trackpoint	S41 08 57.5 W71 09 31.0	22/12/2013 9:41:40 AM 	834 m			86 m	0:00:13	24 kph	119° true
Trackpoint	S41 08 59.6 W71 09 24.9	22/12/2013 9:41:57 AM 	834 m			155 m	0:00:17	33 kph	114° true
Trackpoint	S41 09 01.7 W71 09 18.8	22/12/2013 9:42:16 AM 	835 m			156 m	0:00:19	29 kph	115° true
Trackpoint	S41 09 03.7 W71 09 13.2	22/12/2013 9:42:34 AM 	836 m			145 m	0:00:18	29 kph	115° true
Trackpoint	S41 09 05.6 W71 09 07.8	22/12/2013 9:42:54 AM 	836 m			139 m	0:00:20	25 kph	115° true
Trackpoint	S41 09 07.8 W71 09 01.3	22/12/2013 9:43:19 AM 	837 m			166 m	0:00:25	24 kph	114° true
Trackpoint	S41 09 10.0 W71 08 54.9	22/12/2013 9:43:41 AM 	838 m			162 m	0:00:22	27 kph	114° true
Trackpoint	S41 09 12.3 W71 08 48.1	22/12/2013 9:44:01 AM 	839 m			174 m	0:00:20	31 kph	114° true
Trackpoint	S41 09 14.3 W71 08 42.5	22/12/2013 9:44:20 AM 	837 m			145 m	0:00:19	27 kph	115° true
Trackpoint	S41 09 14.8 W71 08 41.5	22/12/2013 9:44:25 AM 	838 m			29 m	0:00:05	21 kph	125° true
Trackpoint	S41 09 16.1 W71 08 41.1	22/12/2013 9:44:37 AM 	840 m			41 m	0:00:12	12 kph	167° true
Trackpoint	S41 09 16.6 W71 08 41.3	22/12/2013 9:44:50 AM 	842 m			16 m	0:00:13	5 kph	199° true
Trackpoint	S41 09 17.4 W71 08 41.8	22/12/2013 9:47:36 AM 	849 m			28 m	0:02:46	0.6 kph	206° true
Trackpoint	S41 09 19.2 W71 08 42.8	22/12/2013 9:47:47 AM 	849 m			60 m	0:00:11	20 kph	203° true
Trackpoint	S41 09 19.5 W71 08 44.1	22/12/2013 9:47:55 AM 	848 m			32 m	0:00:08	14 kph	254° true
Trackpoint	S41 09 18.6 W71 08 47.1	22/12/2013 9:48:12 AM 	846 m			76 m	0:00:17	16 kph	293° true
Trackpoint	S41 09 17.3 W71 08 50.8	22/12/2013 9:48:20 AM 	846 m			93 m	0:00:08	42 kph	295° true
Trackpoint	S41 09 15.2 W71 08 57.1	22/12/2013 9:48:29 AM 	846 m			162 m	0:00:09	65 kph	294° true
Trackpoint	S41 09 12.2 W71 09 05.9	22/12/2013 9:48:38 AM 	846 m			223 m	0:00:09	89 kph	295° true
Trackpoint	S41 09 07.3 W71 09 19.7	22/12/2013 9:48:50 AM 	858 m			355 m	0:00:12	107 kph	295° true
Trackpoint	S41 09 02.6 W71 09 33.0	22/12/2013 9:49:02 AM 	880 m			342 m	0:00:12	103 kph	295° true
Trackpoint	S41 08 56.6 W71 09 49.6	22/12/2013 9:49:18 AM 	907 m			430 m	0:00:16	97 kph	296° true
Trackpoint	S41 08 50.6 W71 10 04.9	22/12/2013 9:49:33 AM 	922 m			401 m	0:00:15	96 kph	297° true
Trackpoint	S41 08 45.5 W71 10 14.3	22/12/2013 9:49:43 AM 	936 m			270 m	0:00:10	97 kph	306° true
Trackpoint	S41 08 39.2 W71 10 22.5	22/12/2013 9:49:53 AM 	945 m			272 m	0:00:10	98 kph	316° true
Trackpoint	S41 08 31.5 W71 10 28.8	22/12/2013 9:50:03 AM 	956 m			281 m	0:00:10	101 kph	329° true
Trackpoint	S41 08 25.0 W71 10 31.6	22/12/2013 9:50:10 AM 	971 m			211 m	0:00:07	108 kph	342° true
Trackpoint	S41 08 17.0 W71 10 32.7	22/12/2013 9:50:18 AM 	976 m			249 m	0:00:08	112 kph	354° true
Trackpoint	S41 08 07.9 W71 10 31.7	22/12/2013 9:50:27 AM 	990 m			283 m	0:00:09	113 kph	5° true
Trackpoint	S41 07 54.8 W71 10 27.5	22/12/2013 9:50:40 AM 	1006 m			416 m	0:00:13	115 kph	13° true
Trackpoint	S41 07 42.0 W71 10 22.4	22/12/2013 9:50:53 AM 	1018 m			414 m	0:00:13	115 kph	17° true
Trackpoint	S41 07 27.5 W71 10 17.0	22/12/2013 9:51:07 AM 	1036 m			465 m	0:00:14	119 kph	16° true
Trackpoint	S41 07 12.6 W71 10 12.8	22/12/2013 9:51:22 AM 	1060 m			469 m	0:00:15	113 kph	12° true
Trackpoint	S41 07 01.8 W71 10 09.4	22/12/2013 9:51:33 AM 	1078 m			346 m	0:00:11	113 kph	13° true
Trackpoint	S41 06 49.4 W71 10 03.8	22/12/2013 9:51:46 AM 	1097 m			404 m	0:00:13	112 kph	19° true
Trackpoint	S41 06 37.5 W71 09 56.1	22/12/2013 9:51:59 AM 	1119 m			408 m	0:00:13	113 kph	26° true
Trackpoint	S41 06 20.0 W71 09 44.2	22/12/2013 9:52:18 AM 	1131 m			608 m	0:00:19	115 kph	27° true
Trackpoint	S41 06 11.5 W71 09 41.0	22/12/2013 9:52:27 AM 	1134 m			275 m	0:00:09	110 kph	16° true
Trackpoint	S41 06 02.9 W71 09 40.1	22/12/2013 9:52:36 AM 	1144 m			266 m	0:00:09	107 kph	4° true
Trackpoint	S41 05 52.1 W71 09 41.5	22/12/2013 9:52:48 AM 	1160 m			334 m	0:00:12	100 kph	354° true
Trackpoint	S41 05 48.7 W71 09 42.9	22/12/2013 9:52:52 AM 	1161 m			111 m	0:00:04	100 kph	343° true
Trackpoint	S41 05 44.8 W71 09 47.5	22/12/2013 9:52:58 AM 	1164 m			161 m	0:00:06	97 kph	318° true
Trackpoint	S41 05 43.6 W71 09 51.8	22/12/2013 9:53:02 AM 	1168 m			106 m	0:00:04	95 kph	290° true
Trackpoint	S41 05 40.3 W71 10 06.5	22/12/2013 9:53:16 AM 	1189 m			359 m	0:00:14	92 kph	287° true
Trackpoint	S41 05 34.9 W71 10 24.0	22/12/2013 9:53:34 AM 	1205 m			440 m	0:00:18	88 kph	292° true
Trackpoint	S41 05 31.6 W71 10 36.6	22/12/2013 9:53:47 AM 	1218 m			311 m	0:00:13	86 kph	290° true
Trackpoint	S41 05 28.5 W71 10 40.0	22/12/2013 9:53:52 AM 	1219 m			123 m	0:00:05	89 kph	319° true
Trackpoint	S41 05 24.7 W71 10 40.0	22/12/2013 9:53:56 AM 	1223 m			119 m	0:00:04	107 kph	1° true
Trackpoint	S41 05 20.8 W71 10 37.1	22/12/2013 9:54:00 AM 	1228 m			137 m	0:00:04	123 kph	29° true
Trackpoint	S41 05 18.0 W71 10 31.9	22/12/2013 9:54:04 AM 	1231 m			152 m	0:00:04	137 kph	54° true
Trackpoint	S41 05 16.8 W71 10 25.1	22/12/2013 9:54:08 AM 	1236 m			162 m	0:00:04	145 kph	77° true
Trackpoint	S41 05 17.5 W71 10 18.2	22/12/2013 9:54:12 AM 	1243 m			164 m	0:00:04	148 kph	98° true
Trackpoint	S41 05 20.0 W71 10 12.1	22/12/2013 9:54:16 AM 	1249 m			161 m	0:00:04	145 kph	119° true
Trackpoint	S41 05 23.8 W71 10 07.8	22/12/2013 9:54:20 AM 	1251 m			154 m	0:00:04	139 kph	139° true
Trackpoint	S41 05 28.2 W71 10 05.5	22/12/2013 9:54:24 AM 	1253 m			147 m	0:00:04	132 kph	159° true
Trackpoint	S41 05 32.6 W71 10 05.7	22/12/2013 9:54:28 AM 	1255 m			135 m	0:00:04	122 kph	181° true
Trackpoint	S41 05 36.1 W71 10 08.0	22/12/2013 9:54:32 AM 	1260 m			121 m	0:00:04	109 kph	207° true
Trackpoint	S41 05 38.1 W71 10 11.8	22/12/2013 9:54:36 AM 	1266 m			107 m	0:00:04	97 kph	235° true
Trackpoint	S41 05 38.3 W71 10 17.1	22/12/2013 9:54:41 AM 	1271 m			124 m	0:00:05	89 kph	267° true
Trackpoint	S41 05 36.8 W71 10 20.9	22/12/2013 9:54:45 AM 	1275 m			101 m	0:00:04	91 kph	298° true
Trackpoint	S41 05 33.3 W71 10 24.4	22/12/2013 9:54:50 AM 	1279 m			134 m	0:00:05	97 kph	323° true
Trackpoint	S41 05 23.8 W71 10 29.5	22/12/2013 9:55:01 AM 	1284 m			318 m	0:00:11	104 kph	338° true
Trackpoint	S41 05 10.3 W71 10 34.3	22/12/2013 9:55:15 AM 	1293 m			430 m	0:00:14	111 kph	345° true
Trackpoint	S41 04 56.1 W71 10 36.7	22/12/2013 9:55:29 AM 	1308 m			444 m	0:00:14	114 kph	353° true
Trackpoint	S41 04 42.7 W71 10 37.0	22/12/2013 9:55:42 AM 	1319 m			415 m	0:00:13	115 kph	359° true
Trackpoint	S41 04 36.4 W71 10 35.3	22/12/2013 9:55:48 AM 	1323 m			199 m	0:00:06	119 kph	11° true
Trackpoint	S41 04 29.2 W71 10 30.2	22/12/2013 9:55:55 AM 	1325 m			253 m	0:00:07	130 kph	28° true
