UNIX_TIMESTAMP(ts)	counts
1387624660	0
1387624663	1
1387624665	1
1387624668	1
1387624670	0
1387624672	1
1387624674	0
1387624677	0
1387624679	0
1387624681	1
1387624684	1
1387624687	-1
1387624689	-1
1387624691	-1
1387624695	-1
1387624698	0
1387624700	-19
1387624702	0
1387624705	-3
1387624707	-53
1387624710	-52
1387624713	-30
1387624716	-32
1387624718	-32
1387624720	-44
1387624723	-16
1387624725	-21
1387624727	-26
1387624731	-34
1387624733	-37
1387624735	-39
1387624738	-39
1387624740	-39
1387624742	-40
1387624745	-40
1387624747	-44
1387624749	-28
1387624751	1
1387624754	-40
1387624756	-93
1387624758	5
1387624761	-163
1387624763	-202
1387624765	-117
1387624768	-116
1387624770	-100
1387624772	-94
1387624775	-155
1387624778	-82
1387624780	-77
1387624783	-63
1387624785	-89
1387624787	-117
1387624790	-82
1387624792	-121
1387624795	-115
1387624797	-1
1387624799	-52
1387624801	-206
1387624804	-252
1387624806	-44
1387624809	-220
1387624811	-279
1387624813	67
1387624816	-13
1387624819	-164
1387624821	-181
1387624823	-117
1387624826	-135
1387624828	-79
1387624830	-15
1387624833	-48
1387624835	-55
1387624837	-18
1387624840	-47
1387624842	-54
1387624844	-31
1387624847	-30
1387624849	-39
1387624851	-30
1387624854	-9
1387624856	-20
1387624858	-28
1387624861	-17
1387624863	-56
1387624865	3
1387624868	-29
1387624871	-68
1387624875	-89
1387624877	-79
1387624879	-23
1387624882	14
1387624884	25
1387624886	-82
1387624889	29
1387624891	-12
1387624893	-38
1387624896	45
1387624898	-83
1387624900	-116
1387624902	-104
1387624905	-9
1387624908	-54
1387624910	-77
1387624912	-38
1387624914	-35
1387624917	-42
1387624919	-91
1387624922	-22
1387624924	15
1387624926	-37
1387624928	-18
1387624931	-84
1387624933	-23
1387624935	-31
1387624938	-73
1387624941	-68
1387624943	-119
1387624945	-55
1387624948	-30
1387624950	-58
1387624952	-28
1387624955	-109
1387624957	-52
1387624959	-68
1387624962	-24
1387624964	-51
1387624966	-16
1387624969	-81
1387624971	-7
1387624973	36
1387624976	58
1387624980	-29
1387624983	-45
1387624985	-28
1387624987	-38
1387624989	-135
1387624992	-83
1387624994	-27
1387624996	-56
1387624999	-41
1387625001	-90
1387625004	73
1387625006	-72
1387625009	-65
1387625011	-113
1387625013	-67
1387625016	-83
1387625018	-121
1387625021	-265
1387625023	110
1387625025	305
1387625028	278
1387625030	-27
1387625032	-24
1387625034	-8
1387625037	28
1387625039	6
1387625042	6
1387625044	7
1387625047	6
1387625049	7
1387625052	6
1387625054	6
1387625056	6
1387625059	6
1387625061	7
1387625063	7
1387625066	7
1387625068	7
1387625070	7
1387625073	7
1387625075	7
1387625077	7
1387625079	7
1387625082	7
1387625085	7
1387625087	7
1387625090	7
1387625092	7
1387625094	7
1387625096	7
1387625099	7
1387625102	7
1387625104	7
1387625107	7
1387625109	7
1387625111	7
1387625114	7
1387625116	7
1387625119	7
1387625121	7
1387625123	6
1387625125	7
1387625128	7
1387625130	7
1387625132	7
1387625134	7
1387625137	7
1387625139	7
1387625142	7
1387625144	7
1387625146	7
1387625149	7
1387625151	7
1387625153	7
1387625156	7
1387625162	7
1387625164	7
1387625167	7
1387625169	-22
1387625171	-61
1387625173	-116
1387625176	-147
1387625180	-270
1387625182	-68
1387625185	-61
1387625187	-35
1387625189	-37
1387625191	-12
1387625196	60
1387625198	118
1387625202	20
1387625204	-49
1387625206	-37
1387625208	-26
1387625211	-13
1387625213	-25
1387625216	-41
1387625218	-23
1387625220	-32
1387625222	-38
1387625225	-44
1387625227	-37
1387625230	1
1387625232	-27
1387625235	-34
1387625237	-61
1387625239	-76
