UNIX_TIMESTAMP(ts)	time	lat	lon	alt	track	speed	climb
1387624740	0000-00-00 00:00:00	-41.1472	-71.1635	0	360	0	NULL
1387624744	0000-00-00 00:00:00	-41.1472	-71.1635	0	360	0	NULL
1387624748	0000-00-00 00:00:00	-41.1472	-71.1635	0	360	0	NULL
1387624752	0000-00-00 00:00:00	-41.1472	-71.1633	0	360	0.617	NULL
1387624756	0000-00-00 00:00:00	-41.1472	-71.1633	0	119.1	1.132	NULL
1387624760	0000-00-00 00:00:00	-41.1473	-71.1632	0	130.5	4.527	NULL
1387624764	0000-00-00 00:00:00	-41.1475	-71.163	0	134.1	5.659	NULL
1387624768	0000-00-00 00:00:00	-41.1477	-71.1627	0	132.7	7.562	NULL
1387624775	0000-00-00 00:00:00	-41.1478	-71.1623	0	130.5	7.151	NULL
1387624781	0000-00-00 00:00:00	-41.1482	-71.1618	0	119.3	6.688	NULL
1387624784	0000-00-00 00:00:00	-41.1482	-71.1615	0	114.9	6.791	NULL
1387624788	0000-00-00 00:00:00	-41.1483	-71.1613	0	113.2	6.379	NULL
1387624793	0000-00-00 00:00:00	-41.1485	-71.161	0	114.8	6.07	NULL
1387624796	0000-00-00 00:00:00	-41.1485	-71.1607	0	117.8	5.813	NULL
1387624800	0000-00-00 00:00:00	-41.1487	-71.1605	0	115.1	5.556	NULL
1387624804	0000-00-00 00:00:00	-41.1487	-71.1603	0	114.3	5.299	NULL
1387624809	0000-00-00 00:00:00	-41.1488	-71.16	0	114.5	5.042	NULL
1387624814	0000-00-00 00:00:00	-41.1488	-71.1597	0	111.7	4.887	NULL
1387624819	0000-00-00 00:00:00	-41.149	-71.1595	0	111.6	4.836	NULL
1387624824	0000-00-00 00:00:00	-41.149	-71.1592	0	115.4	4.939	NULL
1387624829	0000-00-00 00:00:00	-41.1492	-71.159	0	117.8	5.762	NULL
1387624833	0000-00-00 00:00:00	-41.1493	-71.1587	0	114.7	8.077	NULL
1387624837	0000-00-00 00:00:00	-41.1495	-71.1582	0	112	9.209	NULL
1387624841	0000-00-00 00:00:00	-41.1495	-71.1578	0	112.4	9.466	NULL
1387624845	0000-00-00 00:00:00	-41.1497	-71.1573	0	114.1	9.209	NULL
1387624849	0000-00-00 00:00:00	-41.1498	-71.157	0	116.7	8.9	NULL
1387624853	0000-00-00 00:00:00	-41.15	-71.1567	0	114.1	8.591	NULL
1387624857	0000-00-00 00:00:00	-41.1502	-71.1562	0	112.7	8.385	NULL
1387624861	0000-00-00 00:00:00	-41.1502	-71.1558	0	117	8.077	NULL
1387624865	0000-00-00 00:00:00	-41.1503	-71.1555	0	114.5	7.922	NULL
1387624869	0000-00-00 00:00:00	-41.1505	-71.1552	0	115.1	8.077	NULL
1387624874	0000-00-00 00:00:00	-41.1505	-71.1548	0	110.6	8.18	NULL
1387624879	0000-00-00 00:00:00	-41.1508	-71.1543	0	115.8	8.18	NULL
1387624885	0000-00-00 00:00:00	-41.151	-71.1538	0	117	7.82	NULL
1387624889	0000-00-00 00:00:00	-41.151	-71.1535	0	114.9	7.459	NULL
1387624893	0000-00-00 00:00:00	-41.1512	-71.1532	0	114.5	7.151	NULL
1387624897	0000-00-00 00:00:00	-41.1513	-71.1528	0	113.4	6.945	NULL
1387624901	0000-00-00 00:00:00	-41.1513	-71.1525	0	117.5	6.842	NULL
1387624906	0000-00-00 00:00:00	-41.1515	-71.1522	0	116.9	6.791	NULL
1387624910	0000-00-00 00:00:00	-41.1517	-71.1518	0	115.6	6.431	NULL
1387624914	0000-00-00 00:00:00	-41.1517	-71.1517	0	112.6	6.431	NULL
1387624920	0000-00-00 00:00:00	-41.1518	-71.1512	0	113.4	6.585	NULL
1387624924	0000-00-00 00:00:00	-41.152	-71.1508	0	115	6.739	NULL
1387624930	0000-00-00 00:00:00	-41.1522	-71.1505	0	114.1	6.996	NULL
1387624934	0000-00-00 00:00:00	-41.1522	-71.1502	0	110.7	7.048	NULL
1387624938	0000-00-00 00:00:00	-41.1523	-71.1498	0	116.3	7.048	NULL
1387624942	0000-00-00 00:00:00	-41.1523	-71.1495	0	114.2	7.254	NULL
1387624946	0000-00-00 00:00:00	-41.1525	-71.1492	0	114.4	7.357	NULL
1387624950	0000-00-00 00:00:00	-41.1527	-71.1488	0	114.1	7.614	NULL
1387624954	0000-00-00 00:00:00	-41.1527	-71.1485	0	114	8.18	NULL
1387624958	0000-00-00 00:00:00	-41.1528	-71.1482	0	115.5	8.54	NULL
1387624962	0000-00-00 00:00:00	-41.153	-71.1478	0	115.8	8.9	NULL
1387624967	0000-00-00 00:00:00	-41.1532	-71.1475	0	112.4	9.003	NULL
1387624970	0000-00-00 00:00:00	-41.1533	-71.147	0	112.9	8.746	NULL
1387624975	0000-00-00 00:00:00	-41.1533	-71.1467	0	116.3	8.591	NULL
1387624981	0000-00-00 00:00:00	-41.1535	-71.1463	0	116.8	8.231	NULL
1387624985	0000-00-00 00:00:00	-41.1537	-71.1458	0	110.9	7.614	NULL
1387624991	0000-00-00 00:00:00	-41.1538	-71.1453	0	112.6	7.099	NULL
1387624995	0000-00-00 00:00:00	-41.154	-71.145	0	118.9	6.533	NULL
1387624999	0000-00-00 00:00:00	-41.1542	-71.1448	0	131.7	4.99	NULL
1387625003	0000-00-00 00:00:00	-41.1542	-71.1447	0	139.2	4.476	NULL
1387625007	0000-00-00 00:00:00	-41.1543	-71.1447	0	186.9	3.292	NULL
1387625011	0000-00-00 00:00:00	-41.1545	-71.1448	0	189.7	3.292	NULL
1387625015	0000-00-00 00:00:00	-41.1545	-71.1448	0	194.3	2.778	NULL
1387625020	0000-00-00 00:00:00	-41.1547	-71.1448	0	196	2.315	NULL
1387625025	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	1.183	NULL
1387625029	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.1	0.875	NULL
1387625033	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0.514	NULL
1387625037	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0	NULL
1387625042	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0	NULL
1387625046	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0	NULL
1387625050	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0	NULL
1387625055	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0	NULL
1387625060	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0	NULL
1387625064	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0	NULL
1387625068	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0	NULL
1387625074	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0	NULL
1387625078	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0	NULL
1387625082	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0	NULL
1387625090	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0	NULL
1387625094	0000-00-00 00:00:00	-41.1547	-71.1448	0	196.2	0	NULL
